,Sentence,sequences,length,Emotion
4798,currently feeling,"['currently', 'feeling']",2,anger
4800,totally digging band business last little feel like totally socially emotionally neglectful lot world,"['totally', 'digging', 'band', 'business', 'last', 'little', 'feel', 'like', 'totally', 'socially', 'emotionally', 'neglectful', 'lot', 'world']",14,sadness
4803,feel like greedy person liking two people,"['feel', 'like', 'greedy', 'person', 'liking', 'two', 'people']",7,anger
4809,child stole grandfather maternal feel exceptionally wronged,"['child', 'stole', 'grandfather', 'maternal', 'feel', 'exceptionally', 'wronged']",7,anger
4811,borne witness suffering innocent child hand violent feel helpless trying make thing better,"['borne', 'witness', 'suffering', 'innocent', 'child', 'hand', 'violent', 'feel', 'helpless', 'trying', 'make', 'thing', 'better']",13,sadness
4812,feeling really hateful job sure hope dont lose late,"['feeling', 'really', 'hateful', 'job', 'sure', 'hope', 'dont', 'lose', 'late']",9,anger
4817,feel drained totally exhausted today,"['feel', 'drained', 'totally', 'exhausted', 'today']",5,sadness
4822,think feeling sentimental right ti another work day tomorrow,"['think', 'feeling', 'sentimental', 'right', 'ti', 'another', 'work', 'day', 'tomorrow']",9,sadness
4823,feeling irritable grumpy today came home lunch took nap,"['feeling', 'irritable', 'grumpy', 'today', 'came', 'home', 'lunch', 'took', 'nap']",9,anger
4824,feeling restless career,"['feeling', 'restless', 'career']",3,fear
4828,feeling grumpy sore,"['feeling', 'grumpy', 'sore']",3,anger
4830,love treadmill actually used actually feel running outside,"['love', 'treadmill', 'actually', 'used', 'actually', 'feel', 'running', 'outside']",8,fear
4831,feeling particularly dont think adequately expressed appreciation,"['feeling', 'particularly', 'dont', 'think', 'adequately', 'expressed', 'appreciation']",7,anger
4832,feel nervous normally would type situation,"['feel', 'nervous', 'normally', 'would', 'type', 'situation']",6,fear
4833,feel new,"['feel', 'new']",2,fear
4834,think feeling dissatisfied life,"['think', 'feeling', 'dissatisfied', 'life']",4,anger
4836,feel life easy blessed,"['feel', 'life', 'easy', 'blessed']",4,anger
4840,going around feeling like roundly poor tongue hop become think challenge think taste really physical sensation,"['going', 'around', 'feeling', 'like', 'roundly', 'poor', 'tongue', 'hop', 'become', 'think', 'challenge', 'think', 'taste', 'really', 'physical', 'sensation']",16,sadness
4841,also hate feeling dont know supposed eat feel way often sound way,"['also', 'hate', 'feeling', 'dont', 'know', 'supposed', 'eat', 'feel', 'way', 'often', 'sound', 'way']",12,anger
4842,actually tell breathe breathe breathe feel absolutely know go home life,"['actually', 'tell', 'breathe', 'breathe', 'breathe', 'feel', 'absolutely', 'know', 'go', 'home', 'life']",11,fear
4846,know feel sorry,"['know', 'feel', 'sorry']",3,sadness
4849,went feel shaky,"['went', 'feel', 'shaky']",3,fear
4850,feel horrible someone somewhere felt bad worse,"['feel', 'horrible', 'someone', 'somewhere', 'felt', 'bad', 'worse']",7,sadness
4853,feel petty thing extent human seem feel war stupid little thing try might cannot understand thing loving two people feeling jealous lead murder unhappiness,"['feel', 'petty', 'thing', 'extent', 'human', 'seem', 'feel', 'war', 'stupid', 'little', 'thing', 'try', 'might', 'cannot', 'understand', 'thing', 'loving', 'two', 'people', 'feeling', 'jealous', 'lead', 'murder', 'unhappiness']",24,anger
4856,typically respond feel offended,"['typically', 'respond', 'feel', 'offended']",4,anger
4858,scale feel terrible,"['scale', 'feel', 'terrible']",3,sadness
4860,feel even empty,"['feel', 'even', 'empty']",3,sadness
4861,also feel ungrateful hearing story grandma people knew hospital nursing home one talk simple small talk huge step,"['also', 'feel', 'ungrateful', 'hearing', 'story', 'grandma', 'people', 'knew', 'hospital', 'nursing', 'home', 'one', 'talk', 'simple', 'small', 'talk', 'huge', 'step']",18,sadness
4863,even plan perfect week wont happen need make plan get without feeling mad,"['even', 'plan', 'perfect', 'week', 'wont', 'happen', 'need', 'make', 'plan', 'get', 'without', 'feeling', 'mad']",13,sadness
4866,strange feeling incredibly distressed,"['strange', 'feeling', 'incredibly', 'distressed']",4,fear
4867,feeling sorry think miss jimmy nothing yet thankful everything,"['feeling', 'sorry', 'think', 'miss', 'jimmy', 'nothing', 'yet', 'thankful', 'everything']",9,sadness
4870,feel like regretful soul,"['feel', 'like', 'regretful', 'soul']",4,sadness
4871,feel resigned lot life watch everyone else become parent,"['feel', 'resigned', 'lot', 'life', 'watch', 'everyone', 'else', 'become', 'parent']",9,sadness
4877,meet date continue source apathy worse people feel wronged whose confidence act bad faith,"['meet', 'date', 'continue', 'source', 'apathy', 'worse', 'people', 'feel', 'wronged', 'whose', 'confidence', 'act', 'bad', 'faith']",14,anger
4881,feel like apothecary unfortunate comparison perhaps,"['feel', 'like', 'apothecary', 'unfortunate', 'comparison', 'perhaps']",6,sadness
4885,feel bit typical experience,"['feel', 'bit', 'typical', 'experience']",4,sadness
4888,wonder feeling sentimental help agony writing report due tomorrow,"['wonder', 'feeling', 'sentimental', 'help', 'agony', 'writing', 'report', 'due', 'tomorrow']",9,sadness
4890,feel sorry people affected,"['feel', 'sorry', 'people', 'affected']",4,sadness
4891,didnt feel real emotional connection much character driven story,"['didnt', 'feel', 'real', 'emotional', 'connection', 'much', 'character', 'driven', 'story']",9,sadness
4892,feel like guilty sack,"['feel', 'like', 'guilty', 'sack']",4,sadness
4893,cant begin think would feel morose doesnt even begin cover,"['cant', 'begin', 'think', 'would', 'feel', 'morose', 'doesnt', 'even', 'begin', 'cover']",10,sadness
4894,sudden feeling opportunity could evening going,"['sudden', 'feeling', 'opportunity', 'could', 'evening', 'going']",6,sadness
4896,shouldnt feel gloomy,"['shouldnt', 'feel', 'gloomy']",3,sadness
4900,fallen asleep embracing person never book woke morning feeling kind awkward,"['fallen', 'asleep', 'embracing', 'person', 'never', 'book', 'woke', 'morning', 'feeling', 'kind', 'awkward']",11,sadness
4903,feeling stubborn ridiculous possibly several turn phrase child still asleep tip tongue settled heaving sigh turning leave,"['feeling', 'stubborn', 'ridiculous', 'possibly', 'several', 'turn', 'phrase', 'child', 'still', 'asleep', 'tip', 'tongue', 'settled', 'heaving', 'sigh', 'turning', 'leave']",17,anger
4905,fear people ask feeling reluctant talk thing,"['fear', 'people', 'ask', 'feeling', 'reluctant', 'talk', 'thing']",7,fear
4906,feel dumb honest,"['feel', 'dumb', 'honest']",3,sadness
4908,want feel anything want numb,"['want', 'feel', 'anything', 'want', 'numb']",5,sadness
4909,aware level unrest feeling uncertain sit,"['aware', 'level', 'unrest', 'feeling', 'uncertain', 'sit']",6,fear
4910,feel like weve living weird time warp like,"['feel', 'like', 'weve', 'living', 'weird', 'time', 'warp', 'like']",8,fear
4911,remember sitting family room watching story unfold new york many year ago feeling helpless,"['remember', 'sitting', 'family', 'room', 'watching', 'story', 'unfold', 'new', 'york', 'many', 'year', 'ago', 'feeling', 'helpless']",14,fear
4912,really feel stupid,"['really', 'feel', 'stupid']",3,sadness
4913,must say wonderful feeling make feel submissive,"['must', 'say', 'wonderful', 'feeling', 'make', 'feel', 'submissive']",7,sadness
4914,find feeling sentimental pretty much every day,"['find', 'feeling', 'sentimental', 'pretty', 'much', 'every', 'day']",7,sadness
4915,never awful mother feeling lack energy independence operation tired,"['never', 'awful', 'mother', 'feeling', 'lack', 'energy', 'independence', 'operation', 'tired']",9,fear
4916,feel sorry,"['feel', 'sorry']",2,sadness
4917,felt good way really feel tension day,"['felt', 'good', 'way', 'really', 'feel', 'tension', 'day']",7,sadness
4921,doubt there greater reluctance federal authority employ tear gas plain force feel,"['doubt', 'there', 'greater', 'reluctance', 'federal', 'authority', 'employ', 'tear', 'gas', 'plain', 'force', 'feel']",12,fear
4922,read feel need read make little grumpy,"['read', 'feel', 'need', 'read', 'make', 'little', 'grumpy']",7,anger
4924,ill write soon cant wait hear everyone feeling pretty homesick right,"['ill', 'write', 'soon', 'cant', 'wait', 'hear', 'everyone', 'feeling', 'pretty', 'homesick', 'right']",11,sadness
4927,feel like dust shaken still settled,"['feel', 'like', 'dust', 'shaken', 'still', 'settled']",6,fear
4928,think maybe strongly feel brad look really distracted,"['think', 'maybe', 'strongly', 'feel', 'brad', 'look', 'really', 'distracted']",8,anger
4929,feel cluster head,"['feel', 'cluster', 'head']",3,anger
4932,feel damage aching joint headache backache,"['feel', 'damage', 'aching', 'joint', 'headache', 'backache']",6,sadness
4933,always feel unimportant much always wonder people remember birthday,"['always', 'feel', 'unimportant', 'much', 'always', 'wonder', 'people', 'remember', 'birthday']",9,sadness
4934,used friend always always didnt would get depressed feel defective something think way always felt really bad,"['used', 'friend', 'always', 'always', 'didnt', 'would', 'get', 'depressed', 'feel', 'defective', 'something', 'think', 'way', 'always', 'felt', 'really', 'bad']",17,sadness
4939,way parent friend,"['way', 'parent', 'friend']",3,anger
4940,worry feeling resentful woman work,"['worry', 'feeling', 'resentful', 'woman', 'work']",5,anger
4942,feeling little grumpy thinking everything need get done around way well ready roll sleeve write list get work,"['feeling', 'little', 'grumpy', 'thinking', 'everything', 'need', 'get', 'done', 'around', 'way', 'well', 'ready', 'roll', 'sleeve', 'write', 'list', 'get', 'work']",18,anger
4944,feel getting constant noise chatter,"['feel', 'getting', 'constant', 'noise', 'chatter']",5,fear
4945,must bring perspective equation consider would feel went week without calling find youd final opportunity talk parent,"['must', 'bring', 'perspective', 'equation', 'consider', 'would', 'feel', 'went', 'week', 'without', 'calling', 'find', 'youd', 'final', 'opportunity', 'talk', 'parent']",17,sadness
4946,find chasing needle feeling entire process,"['find', 'chasing', 'needle', 'feeling', 'entire', 'process']",6,sadness
4947,feel bad anything,"['feel', 'bad', 'anything']",3,sadness
4948,feel like jaded cat whatever ever get nervous race done many care,"['feel', 'like', 'jaded', 'cat', 'whatever', 'ever', 'get', 'nervous', 'race', 'done', 'many', 'care']",12,sadness
4949,neither ask deserve feel frightened put danger reason,"['neither', 'ask', 'deserve', 'feel', 'frightened', 'put', 'danger', 'reason']",8,fear
4950,said eventually sugar said end making feel groggy give tummy ache also guilt feel afterwards,"['said', 'eventually', 'sugar', 'said', 'end', 'making', 'feel', 'groggy', 'give', 'tummy', 'ache', 'also', 'guilt', 'feel', 'afterwards']",15,sadness
4951,feel beaten,"['feel', 'beaten']",2,sadness
4952,try make anyone feel uncomfortable,"['try', 'make', 'anyone', 'feel', 'uncomfortable']",5,fear
4953,feel like take world even say wont afraid,"['feel', 'like', 'take', 'world', 'even', 'say', 'wont', 'afraid']",8,fear
4954,spend life condemning feel wronged people yet consequence strangely bitter,"['spend', 'life', 'condemning', 'feel', 'wronged', 'people', 'yet', 'consequence', 'strangely', 'bitter']",10,anger
4955,feel utterly dismayed product,"['feel', 'utterly', 'dismayed', 'product']",4,sadness
4956,feeling unloved end making feel worthy love upon feel love joy feel deep within unworthy,"['feeling', 'unloved', 'end', 'making', 'feel', 'worthy', 'love', 'upon', 'feel', 'love', 'joy', 'feel', 'deep', 'within', 'unworthy']",15,sadness
4958,feel took court instance cannot buy fake well purpose,"['feel', 'took', 'court', 'instance', 'cannot', 'buy', 'fake', 'well', 'purpose']",9,sadness
4960,feeling lately vulnerable impressionable little emotional,"['feeling', 'lately', 'vulnerable', 'impressionable', 'little', 'emotional']",6,fear
4962,tried tried every single person feel like everything fake,"['tried', 'tried', 'every', 'single', 'person', 'feel', 'like', 'everything', 'fake']",9,sadness
4963,stuck feeling hopeless time,"['stuck', 'feeling', 'hopeless', 'time']",4,sadness
4964,feeling hesitant put much else word,"['feeling', 'hesitant', 'put', 'much', 'else', 'word']",6,fear
4965,feel horrible wanting source target blank title share rel,"['feel', 'horrible', 'wanting', 'source', 'target', 'blank', 'title', 'share', 'rel']",9,sadness
4968,tell little much hate feeling needy hate moment know become attached head,"['tell', 'little', 'much', 'hate', 'feeling', 'needy', 'hate', 'moment', 'know', 'become', 'attached', 'head']",12,sadness
4969,feel like series lot since little honesty order,"['feel', 'like', 'series', 'lot', 'since', 'little', 'honesty', 'order']",8,sadness
4973,always giver taker feel selfish considering idea,"['always', 'giver', 'taker', 'feel', 'selfish', 'considering', 'idea']",7,anger
4975,left feeling numb shaky,"['left', 'feeling', 'numb', 'shaky']",4,sadness
4976,could continue feeling awful cry friend focus wronged end feeling worse,"['could', 'continue', 'feeling', 'awful', 'cry', 'friend', 'focus', 'wronged', 'end', 'feeling', 'worse']",11,sadness
4978,feel apprehensive opening blue door,"['feel', 'apprehensive', 'opening', 'blue', 'door']",5,fear
4981,feel choose believe somehow sander see word know cannot get away,"['feel', 'choose', 'believe', 'somehow', 'sander', 'see', 'word', 'know', 'cannot', 'get', 'away']",11,sadness
4982,feel completely worthless,"['feel', 'completely', 'worthless']",3,sadness
4983,feel remorseful ready die look mirror,"['feel', 'remorseful', 'ready', 'die', 'look', 'mirror']",6,sadness
4984,need feeling quite lethargic,"['need', 'feeling', 'quite', 'lethargic']",4,sadness
4986,feel little bashful,"['feel', 'little', 'bashful']",3,fear
4988,feel sometimes mac lipstick read name open select shade,"['feel', 'sometimes', 'mac', 'lipstick', 'read', 'name', 'open', 'select', 'shade']",9,anger
4989,fit never despite fact gave option would still choose outsider combined lack creativity originality dare say utter conformity student body make feel depressed,"['fit', 'never', 'despite', 'fact', 'gave', 'option', 'would', 'still', 'choose', 'outsider', 'combined', 'lack', 'creativity', 'originality', 'dare', 'say', 'utter', 'conformity', 'student', 'body', 'make', 'feel', 'depressed']",23,sadness
4990,feel unpleasant time long,"['feel', 'unpleasant', 'time', 'long']",4,sadness
4993,dont know easier mental illness watch someone love battle today think thing feeling helpless stop,"['dont', 'know', 'easier', 'mental', 'illness', 'watch', 'someone', 'love', 'battle', 'today', 'think', 'thing', 'feeling', 'helpless', 'stop']",15,sadness
4994,know pair sock took two month make feel truly truly distracted string like call,"['know', 'pair', 'sock', 'took', 'two', 'month', 'make', 'feel', 'truly', 'truly', 'distracted', 'string', 'like', 'call']",14,anger
4995,feel frantic beat heart voice surprisingly clear,"['feel', 'frantic', 'beat', 'heart', 'voice', 'surprisingly', 'clear']",7,fear
4997,feel little lighter spirit knew neither incredible naivety stupidity,"['feel', 'little', 'lighter', 'spirit', 'knew', 'neither', 'incredible', 'naivety', 'stupidity']",9,anger
4998,run feel insecure,"['run', 'feel', 'insecure']",3,fear
4999,ending feel like little bit rushed,"['ending', 'feel', 'like', 'little', 'bit', 'rushed']",6,anger
5004,feeling pretty low saw disappointment spirit,"['feeling', 'pretty', 'low', 'saw', 'disappointment', 'spirit']",6,sadness
5005,help feeling little envious treat body power people might store demonstration super strength perfect specimen glistening oil exercise gear seen,"['help', 'feeling', 'little', 'envious', 'treat', 'body', 'power', 'people', 'might', 'store', 'demonstration', 'super', 'strength', 'perfect', 'specimen', 'glistening', 'oil', 'exercise', 'gear', 'seen']",20,anger
5006,feel also minute partner view hundred white jacket obtain caught surgeon area sterile clean smelling brimming numerous device,"['feel', 'also', 'minute', 'partner', 'view', 'hundred', 'white', 'jacket', 'obtain', 'caught', 'surgeon', 'area', 'sterile', 'clean', 'smelling', 'brimming', 'numerous', 'device']",18,sadness
5007,hide secret inside away everyone feel ashamed like assistance making better,"['hide', 'secret', 'inside', 'away', 'everyone', 'feel', 'ashamed', 'like', 'assistance', 'making', 'better']",11,sadness
5009,feel greedy wanting see film series continue,"['feel', 'greedy', 'wanting', 'see', 'film', 'series', 'continue']",7,anger
5010,admit feel little irate well control,"['admit', 'feel', 'little', 'irate', 'well', 'control']",6,anger
5011,dont yeast infection vagina could feeling yeast due diet stop eating lot sugary food,"['dont', 'yeast', 'infection', 'vagina', 'could', 'feeling', 'yeast', 'due', 'diet', 'stop', 'eating', 'lot', 'sugary', 'food']",14,anger
5012,cant help feel selfish could sheltered feeling way,"['cant', 'help', 'feel', 'selfish', 'could', 'sheltered', 'feeling', 'way']",8,anger
5015,swung feeling resentful need feeling ashamed angry able better daughter sister friend citizen,"['swung', 'feeling', 'resentful', 'need', 'feeling', 'ashamed', 'angry', 'able', 'better', 'daughter', 'sister', 'friend', 'citizen']",13,anger
5017,feel alarmed,"['feel', 'alarmed']",2,fear
5019,year old one time knowing dad wasnt coming home worst feeling ever felt since wont ever change,"['year', 'old', 'one', 'time', 'knowing', 'dad', 'wasnt', 'coming', 'home', 'worst', 'feeling', 'ever', 'felt', 'since', 'wont', 'ever', 'change']",17,anger
5021,would feel ungrateful didnt thank know,"['would', 'feel', 'ungrateful', 'didnt', 'thank', 'know']",6,sadness
5023,feel like try try relationship tradition people care get,"['feel', 'like', 'try', 'try', 'relationship', 'tradition', 'people', 'care', 'get']",9,sadness
5025,may feel uncomfortable want give,"['may', 'feel', 'uncomfortable', 'want', 'give']",5,fear
5028,also suspect like feel like want die reluctant share information anyone scary,"['also', 'suspect', 'like', 'feel', 'like', 'want', 'die', 'reluctant', 'share', 'information', 'anyone', 'scary']",12,fear
5029,would like experience wished depart lay relieve odd sense nausea avoid make anyone feel bad brought restaurant first place,"['would', 'like', 'experience', 'wished', 'depart', 'lay', 'relieve', 'odd', 'sense', 'nausea', 'avoid', 'make', 'anyone', 'feel', 'bad', 'brought', 'restaurant', 'first', 'place']",19,sadness
5033,feeling helpless since sandy hit one favorite place world suspect lot share feeling,"['feeling', 'helpless', 'since', 'sandy', 'hit', 'one', 'favorite', 'place', 'world', 'suspect', 'lot', 'share', 'feeling']",13,fear
5039,start feeling toss bam singing dancing shimmy ing shoulder like,"['start', 'feeling', 'toss', 'bam', 'singing', 'dancing', 'shimmy', 'ing', 'shoulder', 'like']",10,sadness
5041,even feel still feel gloomy moody till,"['even', 'feel', 'still', 'feel', 'gloomy', 'moody', 'till']",7,sadness
5042,feeling tad lonely absence,"['feeling', 'tad', 'lonely', 'absence']",4,sadness
5043,feel resentful show resentment eating sundae,"['feel', 'resentful', 'show', 'resentment', 'eating', 'sundae']",6,anger
5044,get feeling miserable narrator pining ex lover return wonder whether unlock door case come way drink dancing,"['get', 'feeling', 'miserable', 'narrator', 'pining', 'ex', 'lover', 'return', 'wonder', 'whether', 'unlock', 'door', 'case', 'come', 'way', 'drink', 'dancing']",17,sadness
5047,didnt feel tragic estrangement superman family perhaps perhaps unlike batman already one,"['didnt', 'feel', 'tragic', 'estrangement', 'superman', 'family', 'perhaps', 'perhaps', 'unlike', 'batman', 'already', 'one']",12,sadness
5051,feel cold,"['feel', 'cold']",2,anger
5053,admittedly feel like crap want sleep day cranky want yell everyone,"['admittedly', 'feel', 'like', 'crap', 'want', 'sleep', 'day', 'cranky', 'want', 'yell', 'everyone']",11,anger
5055,feel gloomy desperately seek affection,"['feel', 'gloomy', 'desperately', 'seek', 'affection']",5,sadness
5057,find thing one love dearly feel helpless remedy hard time,"['find', 'thing', 'one', 'love', 'dearly', 'feel', 'helpless', 'remedy', 'hard', 'time']",10,sadness
5060,remember feeling also wondering stop buy something,"['remember', 'feeling', 'also', 'wondering', 'stop', 'buy', 'something']",7,anger
5061,feeling slightly empty right want reach hand someone anyone hold,"['feeling', 'slightly', 'empty', 'right', 'want', 'reach', 'hand', 'someone', 'anyone', 'hold']",10,sadness
5063,talk lot majority time spent work work feeling generally unhappy lonely even little bitter past event go away,"['talk', 'lot', 'majority', 'time', 'spent', 'work', 'work', 'feeling', 'generally', 'unhappy', 'lonely', 'even', 'little', 'bitter', 'past', 'event', 'go', 'away']",18,sadness
5064,think made known feel cold weather friend ready winter finished please please finished,"['think', 'made', 'known', 'feel', 'cold', 'weather', 'friend', 'ready', 'winter', 'finished', 'please', 'please', 'finished']",13,anger
5067,get conversation regret start feel exhausted fifteen minute something sound like something feel like pea carrot pea carrot mush mush mush,"['get', 'conversation', 'regret', 'start', 'feel', 'exhausted', 'fifteen', 'minute', 'something', 'sound', 'like', 'something', 'feel', 'like', 'pea', 'carrot', 'pea', 'carrot', 'mush', 'mush', 'mush']",21,sadness
5068,feeling awful felt like pushing really hard maintain pace really slow,"['feeling', 'awful', 'felt', 'like', 'pushing', 'really', 'hard', 'maintain', 'pace', 'really', 'slow']",11,sadness
5069,always feel little ashamed history knowledge like learn,"['always', 'feel', 'little', 'ashamed', 'history', 'knowledge', 'like', 'learn']",8,sadness
5070,clip give money buy pretty clothes walk expensive work clothes condescending staff refuse serve leave feeling,"['clip', 'give', 'money', 'buy', 'pretty', 'clothes', 'walk', 'expensive', 'work', 'clothes', 'condescending', 'staff', 'refuse', 'serve', 'leave', 'feeling']",16,sadness
5071,going crazy lea feeling fearful,"['going', 'crazy', 'lea', 'feeling', 'fearful']",5,fear
5072,felt lost half time feel numb,"['felt', 'lost', 'half', 'time', 'feel', 'numb']",6,sadness
5073,feel way,"['feel', 'way']",2,sadness
5076,want feel uncertain unsettled maybe teach lesson,"['want', 'feel', 'uncertain', 'unsettled', 'maybe', 'teach', 'lesson']",7,fear
5077,feel guilty dont need constantly check,"['feel', 'guilty', 'dont', 'need', 'constantly', 'check']",6,sadness
5081,may feel bit gloomy,"['may', 'feel', 'bit', 'gloomy']",4,sadness
5084,personally feel every rapist rigorously,"['personally', 'feel', 'every', 'rapist', 'rigorously']",5,sadness
5085,feel terrible even remember girl came pray last night,"['feel', 'terrible', 'even', 'remember', 'girl', 'came', 'pray', 'last', 'night']",9,sadness
5087,feel strange way,"['feel', 'strange', 'way']",3,fear
5092,feel religion let happen child mine,"['feel', 'religion', 'let', 'happen', 'child', 'mine']",6,sadness
5093,spent feeling miserable,"['spent', 'feeling', 'miserable']",3,sadness
5095,really feel tortured,"['really', 'feel', 'tortured']",3,fear
5097,sick feeling worthless useless miserable,"['sick', 'feeling', 'worthless', 'useless', 'miserable']",5,sadness
5099,develop feeling safe,"['develop', 'feeling', 'safe']",3,fear
5101,feel,['feel'],1,sadness
5103,got shot many likely angle could feeling like moronic tourist care,"['got', 'shot', 'many', 'likely', 'angle', 'could', 'feeling', 'like', 'moronic', 'tourist', 'care']",11,sadness
5105,feeling bit apprehensive dont know little note card stand mass talent,"['feeling', 'bit', 'apprehensive', 'dont', 'know', 'little', 'note', 'card', 'stand', 'mass', 'talent']",11,fear
5106,feel distraught thankful weather improving much,"['feel', 'distraught', 'thankful', 'weather', 'improving', 'much']",6,fear
5107,ran despite feeling rotten glad well really want better,"['ran', 'despite', 'feeling', 'rotten', 'glad', 'well', 'really', 'want', 'better']",9,sadness
5109,assume feeling cold like water frozen plenty feed though eschew favor scratch,"['assume', 'feeling', 'cold', 'like', 'water', 'frozen', 'plenty', 'feed', 'though', 'eschew', 'favor', 'scratch']",12,anger
5110,feel like total person today,"['feel', 'like', 'total', 'person', 'today']",5,anger
5111,feel palate jaded type take natural wine lighter style quest reveal true nature great wine,"['feel', 'palate', 'jaded', 'type', 'take', 'natural', 'wine', 'lighter', 'style', 'quest', 'reveal', 'true', 'nature', 'great', 'wine']",15,sadness
5112,feel little tortured lost,"['feel', 'little', 'tortured', 'lost']",4,anger
5117,dont know every time feel like someone favor time start feel,"['dont', 'know', 'every', 'time', 'feel', 'like', 'someone', 'favor', 'time', 'start', 'feel']",11,sadness
5119,havent exactly gone spin around block yet since id feel strange strapping bear place baby look nice sturdy like trick,"['havent', 'exactly', 'gone', 'spin', 'around', 'block', 'yet', 'since', 'id', 'feel', 'strange', 'strapping', 'bear', 'place', 'baby', 'look', 'nice', 'sturdy', 'like', 'trick']",20,fear
5120,wanting write secret life live one handful people know one keep secret one feel embarrassed even though know perfectly human normal deep feel right,"['wanting', 'write', 'secret', 'life', 'live', 'one', 'handful', 'people', 'know', 'one', 'keep', 'secret', 'one', 'feel', 'embarrassed', 'even', 'though', 'know', 'perfectly', 'human', 'normal', 'deep', 'feel', 'right']",24,sadness
5121,one close friend saying didnt like way nice people dont know,"['one', 'close', 'friend', 'saying', 'didnt', 'like', 'way', 'nice', 'people', 'dont', 'know']",11,anger
5122,would feel resentful toward read nightly book,"['would', 'feel', 'resentful', 'toward', 'read', 'nightly', 'book']",7,anger
5123,feeling regretful tonight,"['feeling', 'regretful', 'tonight']",3,sadness
5124,feeling helpless homesick,"['feeling', 'helpless', 'homesick']",3,fear
5125,wandering around thinking last time seeing meaningful street square shop spent much time friend make feel almost heartbroken,"['wandering', 'around', 'thinking', 'last', 'time', 'seeing', 'meaningful', 'street', 'square', 'shop', 'spent', 'much', 'time', 'friend', 'make', 'feel', 'almost', 'heartbroken']",18,sadness
5131,still feel bit,"['still', 'feel', 'bit']",3,fear
5133,hope always remain grateful even feeling little unsure endeavor,"['hope', 'always', 'remain', 'grateful', 'even', 'feeling', 'little', 'unsure', 'endeavor']",9,fear
5136,hope soon wont feel like stupid slut,"['hope', 'soon', 'wont', 'feel', 'like', 'stupid', 'slut']",7,sadness
5137,feel heart idiotic mind,"['feel', 'heart', 'idiotic', 'mind']",4,sadness
5140,feeling pretty depressed think,"['feeling', 'pretty', 'depressed', 'think']",4,sadness
5141,feeling insecure sad dont know book,"['feeling', 'insecure', 'sad', 'dont', 'know', 'book']",6,fear
5144,writing review book word dont seem flow feel somehow inadequate task,"['writing', 'review', 'book', 'word', 'dont', 'seem', 'flow', 'feel', 'somehow', 'inadequate', 'task']",11,sadness
5146,big city solo afraid going six day wandering around lost six day feeling uncomfortable six day knowing dress six day knowing six day knowing eat six day disaster disaster disaster,"['big', 'city', 'solo', 'afraid', 'going', 'six', 'day', 'wandering', 'around', 'lost', 'six', 'day', 'feeling', 'uncomfortable', 'six', 'day', 'knowing', 'dress', 'six', 'day', 'knowing', 'six', 'day', 'knowing', 'eat', 'six', 'day', 'disaster', 'disaster', 'disaster']",30,fear
5148,heavy feel dull think stopped breathing,"['heavy', 'feel', 'dull', 'think', 'stopped', 'breathing']",6,sadness
5149,feel loss confused,"['feel', 'loss', 'confused']",3,sadness
5150,feeling particularly sentimental go bookstore book sold pace distance book displayed shelf,"['feeling', 'particularly', 'sentimental', 'go', 'bookstore', 'book', 'sold', 'pace', 'distance', 'book', 'displayed', 'shelf']",12,sadness
5153,feel sorry subject tend let go soon,"['feel', 'sorry', 'subject', 'tend', 'let', 'go', 'soon']",7,sadness
5162,get saying feel somewhat remorseful kind friend giving kind support throughout past year friendship oh yes go back far,"['get', 'saying', 'feel', 'somewhat', 'remorseful', 'kind', 'friend', 'giving', 'kind', 'support', 'throughout', 'past', 'year', 'friendship', 'oh', 'yes', 'go', 'back', 'far']",19,sadness
5165,think last week softball likely going suck least try play feel absolutely rotten going see aggressive hydration,"['think', 'last', 'week', 'softball', 'likely', 'going', 'suck', 'least', 'try', 'play', 'feel', 'absolutely', 'rotten', 'going', 'see', 'aggressive', 'hydration']",17,sadness
5168,feeling listless,"['feeling', 'listless']",2,sadness
5170,didnt even time feel jealous busy pinning picture writing,"['didnt', 'even', 'time', 'feel', 'jealous', 'busy', 'pinning', 'picture', 'writing']",9,anger
5172,feel heartbroken one middle aged woman told state run medium,"['feel', 'heartbroken', 'one', 'middle', 'aged', 'woman', 'told', 'state', 'run', 'medium']",10,sadness
5173,notice enjoyable moment even enjoyable recognize far feeling get horrible sensation get something bad,"['notice', 'enjoyable', 'moment', 'even', 'enjoyable', 'recognize', 'far', 'feeling', 'get', 'horrible', 'sensation', 'get', 'something', 'bad']",14,sadness
5174,start feeling anxious,"['start', 'feeling', 'anxious']",3,fear
5175,want feel guilty,"['want', 'feel', 'guilty']",3,sadness
5176,always feel bit anxious preceptor still learning,"['always', 'feel', 'bit', 'anxious', 'preceptor', 'still', 'learning']",7,fear
5179,realize extremely grateful act kindness lord feeling quite distressed moment,"['realize', 'extremely', 'grateful', 'act', 'kindness', 'lord', 'feeling', 'quite', 'distressed', 'moment']",10,fear
5180,feel like one person life miserable best,"['feel', 'like', 'one', 'person', 'life', 'miserable', 'best']",7,sadness
5181,feel like taking care needy puppy living mother,"['feel', 'like', 'taking', 'care', 'needy', 'puppy', 'living', 'mother']",8,sadness
5182,feeling add dont feel important whatever,"['feeling', 'add', 'dont', 'feel', 'important', 'whatever']",6,anger
5183,feel kind people comment try philosophy religion,"['feel', 'kind', 'people', 'comment', 'try', 'philosophy', 'religion']",7,anger
